,id,fullName,link,firstName,lastName,primaryNumber,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,currentTeam,primaryPosition
0,8471233,Travis Zajac,/api/v1/people/8471233,Travis,Zajac,19,1985-05-13,34,Winnipeg,MB,CAN,CAN,"6' 2""",185,True,True,False,False,R,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
1,8471239,Cory Schneider,/api/v1/people/8471239,Cory,Schneider,35,1986-03-18,34,Marblehead,MA,USA,USA,"6' 3""",200,True,False,False,False,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}"
2,8474056,P.K. Subban,/api/v1/people/8474056,P.K.,Subban,76,1989-05-13,30,Toronto,ON,CAN,CAN,"6' 0""",210,True,False,False,False,R,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
3,8475151,Kyle Palmieri,/api/v1/people/8475151,Kyle,Palmieri,21,1991-02-01,29,Smithtown,NY,USA,USA,"5' 11""",185,True,True,False,False,R,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}"
4,8476368,Fredrik Claesson,/api/v1/people/8476368,Fredrik,Claesson,33,1992-11-24,27,Stockholm,,SWE,SWE,"6' 1""",196,True,False,False,False,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
5,8476923,Damon Severson,/api/v1/people/8476923,Damon,Severson,28,1994-08-07,25,Melville,SK,CAN,CAN,"6' 2""",205,True,False,False,False,R,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
6,8476941,Connor Carrick,/api/v1/people/8476941,Connor,Carrick,5,1994-04-13,25,Orland Park,IL,USA,USA,"5' 11""",192,True,False,False,False,R,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
7,8477038,Nikita Gusev,/api/v1/people/8477038,Nikita,Gusev,97,1992-07-08,27,Moscow,,RUS,RUS,"5' 9""",163,True,False,False,False,R,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}"
8,8477355,Will Butcher,/api/v1/people/8477355,Will,Butcher,8,1995-01-06,25,Sun Prairie,WI,USA,USA,"5' 10""",190,True,False,False,False,L,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}"
9,8477401,John Hayden,/api/v1/people/8477401,John,Hayden,15,1995-02-14,25,Chicago,IL,USA,USA,"6' 3""",215,True,False,False,False,R,Y,"{'id': 1, 'name': 'New Jersey Devils', 'link': '/api/v1/teams/1'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}"
